J. Glenn Brookshear	Computer Science: An Overview	71.72	35.86	17.93		Addison Wesley; 10 edition	January 6, 2008	12	5	2		English	0321524039	978-0321524034	paperback	688	Students and instructors alike continue to praise the broad coverage and clear exposition that Computer Science: An Overview uses to present a complete picture of the dynamic computer science field. Accessible to students from all backgrounds, Glenn Brookshear uses a language-independent context to encourage the development of a practical, realistic understanding of the field.  The Tenth Edition employs several world-renowned experts in respective fields to ensure that coverage reflects cutting-edge technology and appeals to today\'s students. Timely topics such as bioinformatics and artificial intelligence engage students, and the text provides coverage of foundational hardware topics like data representation and storage, machine architecture, and machine language.	10th Edition	Computer Science	''
Nell Dale , John Lewis	Computer Science Illuminated	82.00	41.00	20.50		Jones & Bartlett Publishers; 3 edition	November 8, 2006	6	1	3		English	0763741493	978-0763741495	paperback	672	Thoroughly revised and updated, Computer Science Illuminated, Third Edition, continues to excite and enlighten students on the dynamic and diverse field of computer science. Written by two of today s most respected computer science educators, Nell Dale and John Lewis, the text provides a broad overview of the many aspects of the discipline from a generic iew point.  Separate program language chapters are available as bundle items for those instructors who would like to explore a particular programming language with their students. The many layers of computing are thoroughly explained beginning with the information layer, working through the hardware, programming, operating systems, application, and communication layers, and ending with a discussion on the limitations of computing. Perfect for introductory computing and computer science courses, Computer Science Illuminated, Third Edition\'s thorough presentation of computing systems provides computer science majors with a solid foundation for further study, and offers non majors a comprehensive and complete introduction to computing.	'' Computer Science ''
Carl Reynolds , Paul Tymann	Schaum\'s Outline of Principles of Computer Science	12.89	6.45	3.22		McGraw-Hill; 1 edition	March 27, 2008	7	0	0		English	0071460519	978-0071460514	paperback	221	Learn the essentials of computer science Schaums Outline of Principles of Computer Science provides a concise overview of the theoretical foundation of computer science. It also includes focused review of object-oriented programming using Java.	Schaum\'s Outlines '' Computer Science ''
Roselyn Teukolsky	Barron's AP Computer Science, Levels A and AB	11.55	5.78	2.89		Barron\'s Educational Series; 4 edition	August 1, 2007	2	0	0		English	0764137093	978-0764137099	paperback	736	The new fourth edition of Barron\'s Advanced Placement Computer Science test preparation manual has been updated with a new case study. This new GridWorld Case Study will be tested on the AP exam starting in May 2008. The manual presents four full-length AP practice exams, two each for Levels A and AB. Two of these exams are presented as diagnostic tests, with charts detailing the topics for each question. All four model tests have questions answered and explained. Prospective test takers will also find an extensive subject review, starting with a review of Java 5.0 and going on to cover all topics questioned in both the Level A and Level AB exams. There are new sections on storage of numbers and random numbers.	'' Computer Science ''
Allen B. Tucker (Editor)	Computer Science Handbook, Second Edition	123.96	92.97	61.98	30.99	Chapman & Hall/CRC; 2 edition	June 28, 2004	13	0	3	0	English	158488360X	978-1584883609	hardcover	2752	The second edition of this elemental handbook reviews the current state of theory and practice in the field while emphasizing a more practical/applied approach to IT topics such as information management, net-centric computing, and human computer interaction. With a complete revision of its sections on software engineering, architecture, and operating systems, this now thoroughly up-to-date manual is as cutting-edge in the new millennium as it was in the nineties. The Computer Science Handbook, Second Edition includes new information on Web-based software, speech recognition, data mining, cryptography, and distributed objects computing as well as references and sources for further information.	'' Computer Science ''
Behrouz A. Forouzan , Firouz Mosharraf	Foundations of Computer Science	67.84	33.92	16.96		Cengage Learning Business Press; 2 edition	December 5, 2007	13	0	1		English	1844807002	978-1844807000	paperback	624	Based on the ACM model curriculum guidelines, this easy-to-read and easy-to-navigate text covers all the fundamentals of computer science required for first year students embarking on a computing degree. Divided into five parts - computer and data, computer hardware, computer software, data organization and with an introduction to some of the more advanced topics - Foundations of Computer Science gives students a bird\'s eye iew of the subject.  Each chapter includes key terms, summaries, review questions, multiple-choice questions, and exercises to enhance learning, while introducing tools such as UML, structure chart and pseudocode, which students will need in order to succeed in later courses. The text is also supported by numerous figures, examples, exercises, selected solutions and a test bank, all designed to ease and aid the learning process. Updated to cover the latest technologies and changes to course requirements, this second edition features new and updated coverage of: Artificial Intelligence, Computer Ethics and Crimes, Networking, LINUX, and Security.	'' Computer Science ''
Ron White , Timothy Edward Downs	How Computers Work	23.09	11.54	5.77		Que; 9 edition	November 24, 2007	0	0	0		English	0789736136	978-0789736130	paperback	464	Having sold more than 2 million copies over its lifetime, How Computers Work is the definitive illustrated guide to the world of PCs and technology. In this new edition, youll find detailed information not just about every last component of hardware found inside your PC, but also in-depth explanations about home networking, the Internet, PC security, and even how cell phone networks operate. Whether youre interested in how the latest graphics cards power todays most demanding games or how a digital camera turns light into data, youll find your answers right here.  Ron White is a former executive editor and columnist for PC Computing, where he developed the isual concept behind How Computers Work. Founder of one of the earliest PC user groups, he has been writing about computers for 25 years and is known for building wildly extreme computers.  Timothy Edward Downs is an award-winning magazine designer, illustrator, and photographer. He has directed and designed several national consumer, business, technology, and lifestyle magazines, always infusing a sense of how it works into every project.  A full-color, illustrated adventure into the wonders of TECHNOLOOGY  This full-color, fully illustrated guide to the world of technology assumes nothing and explains everything. Only the accomplished Ron White and award-winning Tim Downs have the unique ability to meld descriptive text with one-of-a-kind isuals to fully explain how the electronic gear we depend on every day is made possible. In addition to all the content youve come to expect from prior editions, this newly revised edition includes all-new coverage of topics such as:   How tablet PCs put the power of a PC quite literally in your hands  How Windows Vista makes your Windows desktop translucent and makes your PC more secure  How advances in optical disc technology such as dual-layer DVD, HD-DVD, and Blu-Ray discs continue to push the envelope  How Apples new iPhone is revolutionizing what cell phones can do How BitTorrent technology enables anyone to share information with everyone  For a decade, How Computers Work has helped newbies understand new technology, while at the same time hackers and IT pros have treasured it for the depth of knowledge it contains. This is the perfect book about computing to capture your imagination, delight your eyes, and expand your mind, no matter what your technical level!  Category: General Computing Covers: PCs/Hardware User Level: BeginningIntermediate	How It Works Computer Science ''
Judith L. Gersting	Mathematical Structures for Computer Science	93.15	69.86	46.58	23.29	W. H. Freeman; Sixth Edition edition	July 7, 2006	7	1	0	0	English	071676864X	978-0716768647	hardcover	784	The new edition of Mathematical Structures for Computer Science continues to offer a pedagogically rich and intuitive introduction to discrete mathematics structures. It meets the needs of computer science majors by being both comprehensive and accessible. Relevant applications are balanced alongside clear presentation of concepts to help students better understand this text, which has been popular amongst professors and their classes for almost twenty-five years.	'' Computer Science ''
Justin Zobel	Writing for Computer Science	23.75	11.88	5.94		Springer; 2nd edition	February 22, 2009	9	0	1		English	1852338024	978-1852338022	paperback	280	The elements of good writing are an essential part of success in science. With comprehensive practical help for students and experienced researchers, Writing for Computer Science:- Gives extensive guidance for writing style and editing;- Presents sound practice for graphs, figures, and tables;- Guides the presentation of mathematics, algorithms and experiments;- Shows how to assemble research materials into a technical paper; - Offers guidelines and advice on spoken presentations. This second edition contains detailed new material on research methods, the how-to of being a scientist, including:- Development of ideas into research programs; -Design and evaluation of experiments;- How to search for, read, evaluate, and referee other research;- Research ethics and the qualities that separate good and bad science. Writing for Computer Science is not only an introduction to the doing and describing of research, but is a handy reference for working scientists in computing and mathematical sciences.	'' Computer Science ''
David Reed	Balanced Introduction to Computer Science, A	77.88	38.94	19.47		Prentice Hall; 2 edition	October 15, 2007	5	0	0		English	0136017223	978-0136017226	paperback	408	For Introduction to Computing and the Web courses in departments of Math and Computer Science. This thoughtfully written text uses the Internet as a central theme, studying its history, technology, and current use.  Experimental problems use Web-based tools, enabling students to learn programming fundamentals by developing their own interactive Web pages with HTML and JavaScript. Integrating breadth-based and depth-based chapters, Reed covers a broad range of topics balanced with programming depth in a hands-on, tutorial style. Supplements Include: *Power Point Lecture Slides*Figures*Labs*Solutions Bridge Page: www.prenhall.com/reed Author Website: www.dave-reed.com/book	2nd Edition Computer Science ''
Alfred V. Aho , Jeffrey D. Ullman	Foundations of Computer Science: C Edition	104.38	78.28	52.19	26.09	W. H. Freeman	October 15, 1994	6	0	0	0	English	0716782847	978-0716782841	hardcover	786	Aho and Ullman have created a C ersion of their groundbreaking text. As in that text, this book combines the theoretical foundations of computing with essential discrete mathematics. It follows the same organizations as its predecessor, with all examples and exercises in C.	Principles of Computer Science Series Computer Science ''
