Cleo Coyle	On What Grounds	6.99	3.50	1.75		Berkley	September 2, 2003	2	0	0		English	042519213X	978-0425192139	paperback	288	The perfect cup of coffee is a mystifying thing. To many of my customers, the entire process seems like some sort of alchemy they dare not try at home.... Ten years ago, Clare Cosi left an unhappy marriage along with a job she loved: managing the historic Village Blend coffeehouse in New York\'s Greenwich Village. For a decade, she was happy raising her daughter in the quiet suburbs of New Jersey; but now that Joy is grown and gone, life has gotten way too quiet for Clare. With a little cajoling from Madame, the Blend\'s flamboyant, elderly owner, Clare agrees to return to her old job, and right from the start she gets one heck of a jolt. On her first morning back as Village Blend manager, Clare unlocks the front door to find her beautiful, young assistant manager unconscious in the back of the store, coffee grounds strewn everywhere. As Anabelle is rushed to the hospital, police arrive to investigate, but Detective Mike Quinn finds no sign of forced entry or foul play, and he deems it an accident. Clare disagrees; and after Quinn leaves, there are a few questions she just can\'t get out of her mind, like why was the trash bin in the wrong place?  If this wasn\'t an accident, are her other baristas in danger? And are all NYPD detectives this attractive?	Coffeehouse Mysteries, No. 1	Mystery	''
Donald J. Sobol	Two-minute Mysteries	5.99	3.00	1.50		Scholastic Paperbacks	November 1, 1991	11	0	1		English	0590447874	978-0590447874	paperback	160	Whether testing their own sleuthing abilities by working against the clock or enjoying the intrigue of unraveling each case, readers will delight in the spine-tingling puzzlers in each of these short but thrilling mysteries.	Apple Paperbacks	Mystery	''
Kristiana Gregory	Clue At The Bottom Of The Lake	4.99	2.50	1.25		Scholastic	March 1, 2008	12	6	2		English	0439929512	978-0439929516	paperback	176	Action! Intrigue! Cliffhangers!	Cabin Creek Mysteries	Mystery	''
George Pelecanos (Editor), Otto Penzler (Editor)	The Best American Mystery Stories 2008	5.50	2.75	1.38		Mariner Books	October 8, 2008	2	0	0		English	0618812679		paperback	448	A must-read for anyone who cares about crime stories.Booklist	''	Mystery	''
Laura Childs	The English Breakfast Murder	7.99	4.00	2.00		Berkley	August 5, 2003	0	0	0		English	042519129X	978-0425191293	paperback	288	It is a truly exhilarating experience for Indigo Tea Shop owner Theodosia Browning-helping Charleston\'s Sea Turtle Protection League shepherd hundreds of tiny green loggerheads safely into the sea. But just as she\'s about to celebrate all her hard work, she spots a dead body bobbing in the waves. Now it\'s up to Theo to get to the bottom of the murder before the culprit\'s greed stirs him to kill again.	A Tea Shop Mystery	Mystery	''
Cleo Coyle	Through the Grinder	6.99	3.50	1.75		Berkley	October 5, 2004	8	2	1		English	042519714X	978-0425197141	paperback	288	Business is booming at Clare Cosi\'s Village Blend, until her female customers start to die. Lieutenant Quinn is convinced that someone has an axe to grind, and, unfortunately, his prime suspect is the new man in Clare\'s life.	Coffeehouse Mysteries, No. 2	Mystery	''
Ron Roy , John Steven Gurney (Illustrator)	The White Wolf	3.99	2.00	1.00		Random House Books for Young Readers	November 23, 2004	5	0	3		English	0375824804	978-0375824807	paperback	96	W is for Wolf. . . .	TM	Mystery	''
Cleo Coyle	Murder Most Frothy	6.99	3.50	1.75		Berkley	August 1, 2006	8	2	1		English	0425211134	978-0425211137	paperback	272	\"A bright new light in the mystery horizon,\"(The Best Reviews) Cleo Coyle returns with a mystery full of fraud, fun, and froth. New Yorker Clare Cosi manages a coffee shop, but this summer she\'ll leave it behind as she heads for the Hamptons-and perhaps the biggest jolt of her life... Clare Cosi\'s new friend, millionaire David Mintzer, has an offer no New York barista could turn down: an all-expenses-paid summer away from the sticky city. At his Hamptons mansion, she\'ll relax, soak up the sun, and, oh yes, train the staff of his new restaurant. So Clare packs up her daughter, her former mother-in-law, and her special recipe for iced coffee-for what she hopes will be one de-latte-ful summer... Soon, Clare tends the coffee bar at her first Hamptons gala. But the festivities come to a bitter end when an employee turns up dead in David\'s bathroom-a botched attempt on the millionaire\'s life. Thanks to the Fourth of July fireworks no one heard any gunshots, and the police are stuck in holiday traffic. Concerned for everyone\'s safety, Clare begins to investigate.  What she finds will keep her up at night-and it\'s not the java jitters...\" --This text refers to the Kindle Edition edition.	Coffeehouse Mysteries, No. 4	Mystery	''
Lawrence Treat , Kathleen Borowik (Illustrator)	You're the Detective!: Twenty-Four Solve-Them-Yourself Picture Mysteries	8.95	4.47	2.24		David R Godine	September 1, 2004	10	4	0		English	0879234784	978-0879234782	paperback	77	With applause for Crime and Puzzlement 1 and 2 still ringing in his ears, Lawrence Treat has conjured up yet another devilishly delightful collection of picture mysteries - this time for young readers.	''	Mystery	''
Neil Strauss	Rules of the Game	17.13	12.85	8.56	4.28	Harper Paperbacks	December 18, 2007	4	2	0	0	English	0061540455	978-0061540455	hardcover	352	If you want to play the Game, you\'ve got to know the Rules.  In his international bestseller The Game, Neil Strauss delved into the secret world of pick-up artists--men who have created a science out of the art of seduction.  Not only did he reveal the techniques that they had developed, but he became a master of The Game, and the world\'s No. 1 PUA, as Style.  Now, in his first follow-up to The Game, comes an extraordinary package: A lavishly produced, two-volume pocket-size set that every pickup artist--accomplished or aspiring--will need to have. The first book, The Stylelife Challenge, is the manual Strauss thought he\'d never write: the ultimate guide to landing the woman of your dreams. Bound in white leatherette, it offers an in-depth 30-day program, Strauss challenges readers to confront their insecurities and overcome them through a process of rigorous self-examination, briefings and field missions.  In the second book, Strauss takes readers into the dark side of The Game. Bound in black leatherette, The Style Diaries offers a series of tales of seduction and sexual (mis)adventure. From accidentally getting married during a drunken night in Reykjavik, to luring a famous musician\'s granddaughter into a threesome; from conducting a keenly felt and tender relationship over email, to the stress and frustration of the torturous and highly unorthodox \"30 Day Sex Experiment,\" The Style Diaries takes you further into the seduction underworld than ever before, and delves where The Game never dared to tread: into the even more complicated rules of relationships.	''	Mystery	''
