Anne Mallory	Three Nights of Sin	5.99	3.00	1.50		Avon	April 29, 2008	11	5	4		English	0061242411	978-0061242410	paperback	384	Three nights of danger . . .  When her brother was arrested for murder, the town shut its doors to Marietta Winters. No one would help her save him from the gallowsno one but Gabriel Noble. In exchange for taking the case, Gabriel requests three favors from the desperate young beauty, and Marietta has no other choice but to make a deal with the sinfully handsome devil.  Three nights of pleasure . . .  Searching for clues in the rough underbelly of London, Marietta must masquerade as a shamelessly wanton wenchmuch to Gabriel\'s delight.  But Marietta swears to herself that her passionate moans are just for show. She could never fall in love with such a maddening, arrogant, seductive stranger . .  . could she?  Three nights of sin . . .  Night after night, she satisfies his wicked cravings. But soon Gabriel wants more from Marietta than just three nights of sin and even a sordid secret in his past won\'t prevent him from trying to possess her forever.	''	Romance	''
Caroline Linden	What A Gentleman Wants	4.99	2.50	1.25		Zebra	September 1, 2006	13	1	4		English	0821779311	978-0821779316	paperback	352	Marcus Reese, Duke of Essex, has spent most of his life pulling his twin brother out of trouble. An occasional thank you would suffice; instead, his resentful sibling forges his name to a marriage license and presents him with an unwanted wife. She\'s a icar\'s window with a mind of her own who may be the first person in Marcus\'s well-ordered life to make him feel...completely out of control. Hannah can\'t help but curse her own idiocy. Dire straits have led her to the altar with a gentleman she hardly knows. Played for a fool, she\'s embarrassed, furious, and worse, married to an equally outraged stranger - an exasperating man who unleashes all manner of emotions in Hannah, not to mention unwanted desire. Reluctantly, she agrees to play the wife until he can sort out the mess. But the nearness of the undeniably attractive Duke and the passion in his black eyes unsettles her well-guarded heart - making her want to do so much more than \"act\" the role of blissful bride...	Zebra Historical Romance	Romance	''
Christie Kelley	Every Night I\'m Yours	3.99	2.00	1.00		Zebra	February 1, 2008	11	2	6		English	1420103512	978-1420103519	paperback	384	At twenty-six, aspiring novelist Avis Copley intends to wear spinsterhood as a badge of honour. But when she discovers a olume of erotica that ignites a searing fire within her, Avis realizes just how much she doesn\'t know about the actual pleasures of the flesh. Determined to learn more, she devises a daring plan...Avis chooses Emory Billingsworth, a fellow novelist - not to mention a beautiful specimen of manhood - to instruct her in carnal pleasure. But when the brash earl of Selby, Banning Talbot, a man she has known for years, unearths Avis\' true intentions, he claims she\'s made a dangerously bad choice. Volunteering his services for one wicked night of reckless, abandoned passion, Banning promises he will satisfy all of her deepest longings.  Yet, Banning cannot begin to imagine the effect his wilful, oluptuous, and ery eager student will have on him - or how far an innocent lesson in desire can go.	Zebra Historical Romance	Romance	''
Jessica Trapp	Master Of Pleasure	5.99	3.00	1.50		Zebra	June 7, 2005	5	1	1		English	0821778617	978-0821778616	paperback	352	He haunted her dreams. She haunted his nightmares.  She betrayed him at the altar and her father sold him into slavery.  Kidnapping her was only the beginning of his revenge.	Zebra Historical Romance	Romance	''
Sophie Jordan	Too Wicked to Tame	6.99	3.50	1.75		Avon; Reprint edition	February 27, 2007	1	0	0		English	0061122262	978-0061122262	paperback	384	Would a Reluctant Beauty Ever Wed . . .  Headstrong Lady Portia Derring has an impeccable pedigree . . . and not a penny to her name. Which is why she is alone on the rain-swept Yorkshire moor, waiting for a wealthy earl she has never met but whom her family insists she wed. When she\'s nearly trampled by the blackguard\'s stallion, Portia is more determined than ever to refuse Heath Moreton\'s suit. Handsome devil he may be, but she could never marry a rogue who\'s so clearly out of control!  A Wild, Incorrigible Beast?  An avowed bachelor, scion of the notorious \"Mad\" Moreton clan, Heath won\'t be shackled in matrimony. Why then does this rain-drenched beauty excite him so? Desire consumes him, but the eminently beddable lady resists his well-practiced seductions. Now only one route remains: Heath must ignore his bad blood, anquish his inner beast . . . and prove to Portia that she\'s the only woman capable of taming his heart.	'' 	Romance	''
Victoria Dahl	To Tempt A Scotsman	3.99	2.00	1.00		Zebra	August 1, 2007	12	2	0		English	1420100157	978-1420100150	paperback	352	After finding herself at the centre of a ery public scandal that left one man dead and another on the run, Lady Alexandra Huntington has exiled herself to her brother\'s estate and is content to manage his affairs. But the arrival of darkly handsome Collin Blackburn awakens her curiosity and her desire - and the advantage of being a fallen woman is that she can be ruined only once...After a promise sworn to his father, Collin Blackburn is compelled to seek the aid of the woman who brought about his brother\'s death in a senseless duel. Yet Lady Alexandra is not the shameless femme fatale he expected. In fact, Collin suspects she is guilty of nothing more than a hunger to experience passion, and the brawny Scot is certainly equipped to oblige. But the quick-witted, keenly sensual Alexandra has a few lessons of her own to impart - on life, love, and the delicious joys of succumbing to temptation...	Zebra Debut 	Romance	''
Hannah Howell	Highland Bride	4.99	2.50	1.25		Zebra	August 1, 2006	9	1	2		English	0821779958	978-0821779958	paperback	352	Though she has yet to be courted by any man, spirited Gillyanne Murray decides the time has come to isit the dower lands gifted to her by her father\'s kinsmen. She arrives to find the small keep surrounded by three lairds, each one ying for her hand...and property. Though resolved to refuse them all, the threat of battle on her threshold forces her to boldly choose a suitor: Sir Connor MacEnroy, a handsome, daring knight of few words. As his wife, Gillyanne is stunned by his terse, cold distance - and her own yearning to feel passion in his arms. Now, bringing her healing touch to a land and a keep ravaged by treachery and secret enemies, she dares to reach out for the one thing she fears she may forever be denied...her husband\'s closely guarded heart.	Zebra Historical Romance	Romance	''
Melissa Mayhue	Thirty Nights with a Highland Husband	6.99	3.50	1.75		Pocket	June 26, 2007	2	0	0		English	1416532862	978-1416532866	paperback	384	SCOTLAND, 1272. Connor MacKiernan, a descendant of the Fae Prince, is a warrior who lives only for honor and duty. Though he\'s owed never to marry, that\'s exactly what he must do to save his sister. Enter a little Faerie magic, and the search for a bride is on.  DENVER, 2007. Caitlyn Coryell is having a really bad day -- she just discovered her fianc with another woman! Imagine her surprise when she puts on some sexy lingerie and an antique pendant and Connor appears in her bedroom, begging for her help. He offers a simple yet outrageous adventure: travel to his time, marry him, and return home.  But nothing\'s simple when Cate is trapped in the thirteenth century. The wedding\'s delayed, someone\'s trying to kill her, and in the middle of all this, she realizes she\'s falling in love with a man who can only be her husband for thirty nights.	The Daughters of the Glen, Book 1	Romance	''
Sophie Jordan	One Night with You	5.99	3.00	1.50		Avon	December 26, 2007	3	0	2		English	0061339261	978-0061339264	paperback	368	Anything can happen after dark . . .  Tired of being treated like a servant by her own family, Lady Jane Guthrie finally has a chance to escape .  . . at least for one night. Attired in a daring gown, she arrives at a scandalous courtesans\' masquerade ball looking forward to her few hours of freedom. But when she sees Seth Rutledge, her skin begins to tingle with anticipation. Many years ago, Seth broke her heart by falling for her beautiful, title-hungry sister. But now here he is, right in front of her, offering her his lips . . .  Embittered by war, Seth returns home to inherit the title that would have once won him the woman of his dreams. Though duty demands he wed, he\'s convinced passion no longer has a place in his life . . . until a masked siren sets his heart aflame. Desperate to find her again, he has no idea it\'s his childhood friend Janeand that after one night together their lives will never be the same.	''	Romance	''
Elizabeth Amber	Nicholas: The Lords of Satyr	10.15	5.08	2.54		Aphrodisia	August 1, 2007	7	1	3		English	0758220391	978-0758220394	paperback	256	In the heart of Tuscany\'s centuries-old wine country, three half-Satyr brothers receive a letter that sends them in search of three endangered half-Faerie brides. The daughters of a dying king, they present a unique opportunity for the wealthy, charismatic Lords of Satyr to beget heirs to inherit their Italian ineyard and ancient secrets.......... For not just any woman will do as a Satyr wife. Each month at Moonful, the brothers change physically, becoming more powerfully potent. They\'re driven by the darker side of their natures to indulge in a nightlong ritual in a sacred gathering place ringed with statues of Bacchus, nymphs, dryads, and fauns........... Eldest brother Nick considers it his duty to sire heirs. But he prefers to keep his conjugal isits to Jane, his new FaerieBlend wife, proper while engaging in more carnal activities with experienced courtesans........... Unaware that she\'s half-Faerie, Jane is desperate to rid herself of the terrible abilities she acquired when she turned thirteen. Only then will she bear Nick\'s children and find a true home with him. Until then, she must deceive him........... As the grapevines begin to bloom, an ancient cult hatches plans that could destroy Nick and Jane\'s blossoming happiness.	''	Romance	''
Trisha Telep (Editor)	The Mammoth Book of Vampire Romance	12.56	6.28	3.14		Running Press	July 2008	0	0	0		English	0762434988	978-0762434985	paperback	512	The biggest names in paranormal romance have created a fascinating array of 30 short stories of hot blood and inhuman passions that will leave you thirsting for more. Authors include Sherri Erwin, Caitlin R. Kiernan, Jenna Black, Jenna Maclaine, Raven Hart, Delilah Devlin, Keri Arthur, Kimberly Raye, Alexis Morgan, Lilith Saintcrow, C.T. Adams, Cathy Clamp, Susan Sizemore, Dina James, Colleen Gleason, Barbara Emrys, Savannah Russe, Shiloh Walker, Vicki Pettersson, Rebecca York, Rachel Vincent, Amanda Ashley, Karen Chance, and Nancy Holder. These aint your mothers ampires!	Mammoth Books	Romance	''
Jaci Burton	Wild, Wicked, & Wanton	9.75	4.88	2.44		Berkley Trade; Heat edition	May 1, 2007	14	5	2		English	0425213838	978-0425213834	paperback	336	Three friends reveal their most intimate secrets in an erotic romance from \"an undoubted master.\"* They\'re inseparable friends who share their wildest secrets and dares. The latest bet is the boldest of all: each must sleep with whomever the others have chosen and return with every juicy detail. For divorce Abby it\'s a pair of sexy eterinarians who are fulfilling their own desire. For heartbreaker Blaire it\'s the one man she never had the courage to bed. For sensible Callie it\'s an irresistible stranger. For readers, it\'s an erotic fantasy come true.	Berkley Heat	Romance	''
Joan Johnston	The Barefoot Bride	7.99	4.00	2.00		Dell	December 2, 1991	3	0	1		English	0440211298	978-0440211297	paperback	400	Young widowed Molly decides to leave the security of Boston and travel to the wilds of Montana as a mail-order bride. After all, she has two children to consider. She\'ll marry first, and reveal her family later. But Molly isn\'t prepared for a dashing doctor, who has a heart of gold and kisses to match. Original.	''	Romance	''
