Kevin Bohacz	Immortality	14.65	7.33	3.66		CPrompt	March 1, 2007	6	3	0		English	0979181518	978-0979181511	paperback	562	Speaking as an evolved Transhuman, I applaud this ery entertaining, intelligent, and thought provoking journey to the edges of humanity.	''
S. W. Ahmed	Dark Matter	14.35	7.17	3.59		Brane Science Fiction	March 4, 2008	4	0	2		English	0981526306	978-0981526300	paperback	456	Dark matter constitutes the bulk of all matter in the known universe. Yet to this day, its true nature remains one of science\'s greatest mysteries. But what if dark matter actually is just ordinary matter purposely hidden from our iew? What if we are only allowed to see a small fraction of the stars in every galaxy, because the ast majority of star systems in our own galaxy are teeming with aliens who wish to remain unseen? Marc Zemin, a brilliant student of astrophysics, is the first human to ever stumble upon this startling secret, when his experiments with wormhole travel cause aliens to land on Earth and whisk him away into space. To his astonishment, the aliens want his help in fighting a colossal interstellar war that is rapidly spiraling out of control. But as he struggles to survive from battle to battle across the farthest reaches of the galaxy, he begins to uncover a horrifying conspiracy at play, striving to keep the different sides in continuous conflict with each other. A desperate race against time ensues, as he and a handful of newfound alien friends try to stop the war and confront this mysterious, powerful force bent on destroying all life in the galaxy. But any hope of their success surprisingly appears to hinge on just one thing - whether or not Marc has the strength to overcome his own demons and face the shattering truth about who he really is. \"A sci-fi debut that shows great potential.\" - Kirkus Discoveries	'' Science Fiction
Richard Fawkes	Nature of the Beast	6.99	3.50	1.75		Eos; First Edition edition	July 27, 2004	13	5	0		English	0060536772	978-0060536770	paperback	352	The forces of annihilation Throughout the galaxy, the near-invincible armies of the alien Remor have set their sights on one goal: the complete extermination of the human race. Outnumbered and outgunned, The Interstellar Defense League cannot afford to discard any asset -- so a disgraced Sector Commander is being given a chance to redeem himself ... by sacrificing his life.  The fate of Christoph Stone -- and, perhaps, the destiny of all humankind -- is to be decided on a distant frontier planet nestled deep in enemy-controlled space. Saddled with shockingly green troops, a captain with a checkered past, and a trouble-making civilian expeditionary force, Stone\'s mission is clear and clearly suicidal. Because even his superiors are unaware of the weapon the Remor have waiting for the human invaders as they attempt to retake a captive world: an instrument of destruction that is demonic, unstoppable ... and obscenely human.	Military Science Fiction Series Science Fiction
Ben Bova (Editor)	The Science Fiction Hall of Fame, Volume Two B: The Greatest Science Fiction Novellas of All Time Chosen by the Members of the Science Fiction Writers of America	19.77	14.83	9.88	4.94	Tor Books	April 29, 2008	14	0	0	9	English	0765305321	978-0765305329	hardcover	544	This olume is the definitive collection of the best science fiction novellas between 1929 to 1964 and contains eleven great classics. There is no better anthology that captures the birth of science fiction as a literary field.Published in 1973 to honor stories that had come before the institution of the Nebula Awards, The Science Fiction Hall of Fame introduced tens of thousands of young readers to the wonders of science fiction and was a favorite of libraries across the country.This olume contains novellas by: Ray Bradbury, James Blish, Algis Budrys, Theodore Cogswell, E. M. Forster, Frederik Pohl, James H. Schmitz, T. L. Sherred, Wilmar H. Shiras, Clifford D. Simak, and Jack Vance.	SF Hall of Fame Science Fiction
Kristie Lynn Higgins	Shades of Gray: Book One: Noir, City Shrouded By Darkness	24.99	12.49	6.25		Pandora Project Publisher; 1st edition	November 1, 2007	7	0	1		English	0979857503	978-0979857508	paperback	220	THE PANDORA PROJECT- A WOMAN WHO IS DESTINED TO SAVE THE WORLD OR DESTROY IT.  A haunting melody . . .	#1 Limited 5000 Copy First Edition. Science Fiction Action Adventure Mystery Thriller Series Sci-Fi Horror Science Fiction
Ben Bova (Editor)	The Science Fiction Hall of Fame, Volume Two A: The Greatest Science Fiction Novellas of All Time Chosen by the Members of The Science Fiction Writers of America	19.77	14.83	9.88	4.94	Tor Books	November 11, 2004	4	1	0	0	English	0765305348	978-0765305343	hardcover	544	The Science Fiction Hall of Fame, Volume One, honored the best of science fiction\'s early short stories. This olume is the definitive collection of the best science fiction novellas written between 1929 to 1964 and contains eleven great classics. There is no better anthology that captures the birth of science fiction as a literary field.	SF Hall of Fame Science Fiction
Kristie Lynn Higgins	Shades of Gray: Book Two: From Moscow, With Love	25.99	12.99	6.50		Pandora Project Publisher; 1st edition	November 30, 2007	15	1	1		English	0979857511	978-0979857515	paperback	227	THE PANDORA PROJECT- A WOMAN WHO IS DESTINED TO SAVE THE WORLD OR DESTROY IT.  Worlds collide . . .	#2 Limited 5000 Copy First Edition. Science Fiction Action Adventure Mystery Thriller Series Sci-Fi Horror Science Fiction
Orson Scott Card	How to Write Science Fiction & Fantasy	10.19	5.09	2.55		Writers Digest Books	September 15, 2001	11	0	2		English	158297103X	978-1582971032	paperback	140	Finally, Orson Scott Card\'s Hugo award-winning classic on the art and craft of writing science fiction and fantasy is available in paperback! Card provides invaluable advice for every science fiction and fantasy writer interested in constructing stories about people, worlds and events that stretch the boundaries of the possible...and the magical. They\'ll learn: * what is and isn\'t science fiction and fantasy, and where their story fits in the mix * how to build, populate, and dramatize a credible, inviting world readers will want to explore * how to use the MICE quotient--milieu, idea, character and event--to structure a successful story * where the markets are, how to reach them and get published There\'s no better source of information for writers working in these genres. This book will help them effectively produce exciting stories that are both fascinating and market-ready.	'' Science Fiction
Jack Campbell	Dauntless	7.99	4.00	2.00		Ace; Reissue edition	June 27, 2006	12	1	6		English	0441014186	978-0441014187	paperback	304	The Alliance has been fighting the Syndic for a century-and losing badly. Now its fleet is crippled and stranded in enemy territory. Their only hope is Captain John \"Black Jack\" Geary-a man who\'s emerged from a century-long hibernation to find he has been heroically idealized beyond belief. Now, he must live up to his own legend.	The Lost Fleet, Book 1 Science Fiction
Graham Sharp Paul	The Battle at the Moons of Hell	7.99	4.00	2.00		Ballantine Books	September 25, 2007	14	10	0		English	0345495713	978-0345495716	paperback	384	A planet-stomping space opera that bursts off the page like a tactical nuke.	Helfort\'s War: Book I Science Fiction
